,SONY,RBLX,NVDA,U,SPOT
640,474200,,77664000,,
641,1153400,,68704400,,
642,794400,,69959600,,
643,610800,,64833200,,
644,766400,,65252400,,
645,830600,,49655600,,
646,494300,,64040400,,
647,1455700,,78285600,,
648,583100,,51334800,,
649,578500,,55967200,,
650,1113100,,43138400,,
651,1093900,,47844400,,
652,673900,,44242000,,
653,546500,,58909600,,
654,797800,,71741200,,
655,796900,,75533600,,
656,925300,,53078400,,
657,1000800,,132808800,,
658,471200,,149719600,,
659,437900,,127902000,,
660,513900,,76453200,,
661,469200,,59663200,,
662,658100,,52544400,,
663,504800,,60120400,,
664,594500,,62367200,,
665,492400,,45045600,,
666,313400,,57952000,,
667,1375700,,46970000,,
668,1065900,,35720000,,
669,188200,,38949600,,
670,338600,,32409600,,
671,520700,,38440000,,
672,468400,,61268400,,
673,394900,,44543200,,
674,554900,,69536400,,
675,275300,,39767200,,
676,371500,,35286800,,
677,579300,,49885600,,
678,1330100,,56744400,,
679,499200,,41148800,,
680,328900,,58096000,,
681,1145000,,51371200,,
682,558200,,136479200,,
683,698900,,168446000,,
684,1646100,,87428000,,
685,689500,,72492000,,
686,551500,,107560000,,
687,731800,,49123200,,
688,1378300,,87458000,,
689,954600,,112562000,,
690,848300,,71372000,,
691,580100,,43524400,,
692,608500,,61909200,,
693,628100,,50348000,,
694,658400,,39033200,,
695,405100,,42784800,,
696,984800,,43736400,,
697,749700,,31880000,,
698,400300,,56349200,,
699,488400,,97487600,,
700,585800,,52950800,,
701,871400,,52829200,,
702,579300,,62872800,,
703,641100,,57664000,,
704,561900,,47859600,,
705,697000,,56731600,,
706,784200,,57077200,,
707,557100,,45162000,,
708,366100,,42869600,,
709,322900,,40724400,,
710,515900,,82816000,,
711,817400,,32274400,,
712,559200,,57219200,,
713,2200300,,50405600,,
714,6813800,,41190800,,
715,2289500,,50257600,,
716,1682000,,34230800,,
717,1362900,,35364000,,
718,1022900,,38994400,,
719,782600,,42770000,,
720,1324300,,52298800,,
721,1399500,,97856400,,
722,715300,,125325600,,
723,972900,,58237600,,
724,917900,,52929200,,
725,1148400,,50194800,,
726,894000,,44176800,,
727,654700,,51566400,,
728,1092200,,39610000,,
729,752200,,39917600,,
730,558800,,35664000,,
731,402400,,18075200,,
732,807900,,42289600,,
733,661600,,51275200,,
734,873800,,139678800,,
735,1114300,,82376800,,
736,2192700,,81154800,,
737,992800,,124084400,,
738,554900,,98148800,,
739,970700,,46703200,,
740,809200,,54260000,,
741,622700,,46687600,,
742,950400,,37274800,,
743,913300,,45501600,,
744,734200,,55428000,,
745,517900,,43816400,,
746,738100,,67003600,,
747,1043000,,47770400,,
748,748200,,37310000,,
749,447900,,28882000,,
750,642000,,30090400,,
751,453300,,46627600,,
752,583900,,35508000,,
753,386100,,32948800,,
754,541300,,24024800,,
755,435500,,27996400,,
756,844200,,35561600,,
757,612500,,91470400,,
758,770600,,58326800,,
759,1356100,,58012400,,
760,618900,,88121600,,
761,1057300,,49700000,,
762,1051300,,58266400,,
763,860300,,40603200,,
764,1043400,,35991600,,
765,1388400,,70234800,,
766,784500,,53840800,,
767,570600,,40863200,,
768,522100,,60938000,,
769,800100,,55094400,,
770,2431800,,47522800,,
771,1742500,,57997200,,
772,1217600,,40988400,,
773,1112900,,51635600,,
774,3080600,,45511600,,
775,910800,,57083200,,
776,852100,,47857600,,
777,1810100,,51922400,,
778,3954200,,71846400,,
779,2596400,,116520400,,
780,2667400,,111480000,,
781,1131700,,80293200,,
782,2578100,,114400000,,
783,2103600,,167460400,,
784,1212700,,109317200,,
785,1309200,,62552400,,
786,1343400,,74498800,,
787,623600,,69890000,,
788,882400,,63765600,,
789,698600,,68624000,,
790,918200,,89229200,,
791,885700,,53436400,,
792,1437700,,41530000,,
793,877900,,46931200,,
794,859400,,45543600,,
795,863500,,52311600,,
796,1187500,,104012000,,
797,843200,,91342800,,
798,1108300,,62077600,,
799,1084200,,63680800,,
800,1230900,,58120800,,
801,801500,,41191200,,
802,1289100,,50552400,,
803,1385300,,60506000,,
804,1257800,,61977200,,
805,927500,,50549600,,
806,536900,,40195200,,
807,964000,,39945600,,
808,1839100,,71377200,,
809,947900,,55469600,,
810,623900,,43868800,,
811,1581600,,55119600,,
812,915800,,73562000,,
813,931400,,61142400,,
814,1473100,,140900000,,
815,2809900,,94590400,,
816,2136900,,91662800,,
817,2178400,,92209200,,
818,1907000,,66743200,,30526500.0
819,907200,,78916800,,11702900.0
820,882500,,70124000,,7372800.0
821,892600,,66298800,,4228100.0
822,611100,,49952400,,2051400.0
823,1050300,,76167600,,2980000.0
824,549800,,46024400,,1874000.0
