,tic
2986,AAPL
2989,AAPL
2992,AAPL
2995,AAPL
2998,AAPL
3001,AAPL
3004,AAPL
3007,AAPL
3010,AAPL
3013,AAPL
3016,AAPL
3019,AAPL
3022,AAPL
3025,AAPL
3028,AAPL
3031,AAPL
3034,AAPL
3037,AAPL
3040,AAPL
3043,AAPL
3046,AAPL
3049,AAPL
3052,AAPL
3055,AAPL
3058,AAPL
3061,AAPL
3064,AAPL
3067,AAPL
3070,AAPL
3073,AAPL
3076,AAPL
3079,AAPL
3082,AAPL
3085,AAPL
3088,AAPL
3091,AAPL
3094,AAPL
3097,AAPL
3100,AAPL
3103,AAPL
3106,AAPL
3109,AAPL
3112,AAPL
3115,AAPL
3118,AAPL
3121,AAPL
3124,AAPL
3127,AAPL
3130,AAPL
3133,AAPL
3136,AAPL
3139,AAPL
3142,AAPL
3145,AAPL
3148,AAPL
3151,AAPL
3154,AAPL
3157,AAPL
3160,AAPL
3163,AAPL
3166,AAPL
3169,AAPL
3172,AAPL
3175,AAPL
3178,AAPL
3181,AAPL
3184,AAPL
3187,AAPL
3190,AAPL
3193,AAPL
3196,AAPL
3199,AAPL
3202,AAPL
3205,AAPL
3208,AAPL
3211,AAPL
3214,AAPL
3217,AAPL
3220,AAPL
3223,AAPL
3226,AAPL
3229,AAPL
3232,AAPL
3235,AAPL
3238,AAPL
3241,AAPL
3244,AAPL
3247,AAPL
3250,AAPL
3253,AAPL
3256,AAPL
3259,AAPL
3262,AAPL
3265,AAPL
3268,AAPL
3271,AAPL
3274,AAPL
3277,AAPL
3280,AAPL
3283,AAPL
3286,AAPL
3289,AAPL
3292,AAPL
3295,AAPL
3298,AAPL
3301,AAPL
3304,AAPL
3307,AAPL
3310,AAPL
3313,AAPL
3316,AAPL
3319,AAPL
3322,AAPL
3325,AAPL
3328,AAPL
3331,AAPL
3334,AAPL
3337,AAPL
3340,AAPL
3343,AAPL
3346,AAPL
3349,AAPL
3352,AAPL
3355,AAPL
3358,AAPL
3361,AAPL
3364,AAPL
3367,AAPL
3370,AAPL
3373,AAPL
3376,AAPL
3379,AAPL
3382,AAPL
3385,AAPL
3388,AAPL
3391,AAPL
3394,AAPL
3397,AAPL
3400,AAPL
3403,AAPL
3406,AAPL
3409,AAPL
3412,AAPL
3415,AAPL
3418,AAPL
3421,AAPL
3424,AAPL
3427,AAPL
3430,AAPL
3433,AAPL
3436,AAPL
3439,AAPL
3442,AAPL
3445,AAPL
3448,AAPL
3451,AAPL
3454,AAPL
3457,AAPL
3460,AAPL
3463,AAPL
3466,AAPL
3469,AAPL
3472,AAPL
3475,AAPL
3478,AAPL
3481,AAPL
3484,AAPL
3487,AAPL
3490,AAPL
3493,AAPL
3496,AAPL
3499,AAPL
3502,AAPL
3505,AAPL
3508,AAPL
3511,AAPL
3514,AAPL
3517,AAPL
3520,AAPL
3523,AAPL
3526,AAPL
3529,AAPL
3532,AAPL
3535,AAPL
3538,AAPL
3541,AAPL
3544,AAPL
3547,AAPL
3550,AAPL
3553,AAPL
3556,AAPL
3559,AAPL
3562,AAPL
3565,AAPL
3568,AAPL
3571,AAPL
3574,AAPL
3577,AAPL
3580,AAPL
3583,AAPL
3586,AAPL
3589,AAPL
3592,AAPL
3595,AAPL
3598,AAPL
3601,AAPL
3604,AAPL
3607,AAPL
3610,AAPL
3613,AAPL
3616,AAPL
3619,AAPL
3622,AAPL
3625,AAPL
3628,AAPL
3631,AAPL
3634,AAPL
3637,AAPL
3640,AAPL
3643,AAPL
3646,AAPL
3649,AAPL
3652,AAPL
3655,AAPL
3658,AAPL
3661,AAPL
3664,AAPL
3667,AAPL
3670,AAPL
3673,AAPL
3676,AAPL
3679,AAPL
3682,AAPL
3685,AAPL
3688,AAPL
3691,AAPL
3694,AAPL
3697,AAPL
3700,AAPL
3703,AAPL
3706,AAPL
3709,AAPL
3712,AAPL
3715,AAPL
3718,AAPL
3721,AAPL
3724,AAPL
3727,AAPL
3730,AAPL
3733,AAPL
3736,AAPL
3739,AAPL
3742,AAPL
3745,AAPL
3748,AAPL
3751,AAPL
3754,AAPL
3757,AAPL
3760,AAPL
3763,AAPL
3766,AAPL
3769,AAPL
3772,AAPL
3775,AAPL
3778,AAPL
3781,AAPL
3784,AAPL
3787,AAPL
3790,AAPL
3793,AAPL
3796,AAPL
3799,AAPL
3802,AAPL
3805,AAPL
3808,AAPL
3811,AAPL
3814,AAPL
3817,AAPL
3820,AAPL
3823,AAPL
3826,AAPL
3829,AAPL
3832,AAPL
3835,AAPL
3838,AAPL
3841,AAPL
3844,AAPL
3847,AAPL
3850,AAPL
3853,AAPL
3856,AAPL
3859,AAPL
3862,AAPL
3865,AAPL
3868,AAPL
3871,AAPL
3874,AAPL
3877,AAPL
3880,AAPL
3883,AAPL
3886,AAPL
3889,AAPL
3892,AAPL
3895,AAPL
3898,AAPL
3901,AAPL
3904,AAPL
3907,AAPL
3910,AAPL
3913,AAPL
3916,AAPL
3919,AAPL
3922,AAPL
3925,AAPL
3928,AAPL
3931,AAPL
3934,AAPL
3937,AAPL
3940,AAPL
3943,AAPL
3946,AAPL
3949,AAPL
3952,AAPL
3955,AAPL
3958,AAPL
3961,AAPL
3964,AAPL
3967,AAPL
3970,AAPL
3973,AAPL
3976,AAPL
3979,AAPL
3982,AAPL
3985,AAPL
3988,AAPL
3991,AAPL
3994,AAPL
3997,AAPL
4000,AAPL
4003,AAPL
4006,AAPL
4009,AAPL
4012,AAPL
4015,AAPL
4018,AAPL
4021,AAPL
4024,AAPL
4027,AAPL
4030,AAPL
4033,AAPL
4036,AAPL
4039,AAPL
4042,AAPL
4045,AAPL
4048,AAPL
4051,AAPL
4054,AAPL
4057,AAPL
4060,AAPL
4063,AAPL
4066,AAPL
4069,AAPL
4072,AAPL
4075,AAPL
4078,AAPL
4081,AAPL
4084,AAPL
4087,AAPL
4090,AAPL
4093,AAPL
4096,AAPL
4099,AAPL
4102,AAPL
4105,AAPL
4108,AAPL
4111,AAPL
4114,AAPL
4117,AAPL
4120,AAPL
4123,AAPL
4126,AAPL
4129,AAPL
4132,AAPL
4135,AAPL
4138,AAPL
4141,AAPL
4144,AAPL
4147,AAPL
4150,AAPL
4153,AAPL
4156,AAPL
4159,AAPL
4162,AAPL
4165,AAPL
4168,AAPL
4171,AAPL
4174,AAPL
4177,AAPL
4180,AAPL
4183,AAPL
4186,AAPL
4189,AAPL
4192,AAPL
4195,AAPL
4198,AAPL
4201,AAPL
4204,AAPL
4207,AAPL
4210,AAPL
4213,AAPL
4216,AAPL
4219,AAPL
4222,AAPL
4225,AAPL
4228,AAPL
4231,AAPL
4234,AAPL
4237,AAPL
4240,AAPL
4243,AAPL
4246,AAPL
4249,AAPL
4252,AAPL
4255,AAPL
4258,AAPL
4261,AAPL
4264,AAPL
4267,AAPL
4270,AAPL
4273,AAPL
4276,AAPL
4279,AAPL
4282,AAPL
4285,AAPL
4288,AAPL
4291,AAPL
4294,AAPL
4297,AAPL
4300,AAPL
4303,AAPL
4306,AAPL
4309,AAPL
4312,AAPL
4315,AAPL
4318,AAPL
4321,AAPL
4324,AAPL
4327,AAPL
4330,AAPL
4333,AAPL
4336,AAPL
4339,AAPL
4342,AAPL
4345,AAPL
4348,AAPL
4351,AAPL
4354,AAPL
4357,AAPL
4360,AAPL
4363,AAPL
4366,AAPL
4369,AAPL
4372,AAPL
4375,AAPL
4378,AAPL
4381,AAPL
4384,AAPL
4387,AAPL
4390,AAPL
4393,AAPL
4396,AAPL
4399,AAPL
4402,AAPL
4405,AAPL
4408,AAPL
4411,AAPL
4414,AAPL
4417,AAPL
4420,AAPL
4423,AAPL
4426,AAPL
4429,AAPL
4432,AAPL
4435,AAPL
4438,AAPL
4441,AAPL
4444,AAPL
4447,AAPL
4450,AAPL
4453,AAPL
4456,CL=F
4459,TSLA
4462,TSLA
4465,TSLA
4468,TSLA
4471,TSLA
4474,TSLA
4477,TSLA
4480,TSLA
4483,TSLA
4486,TSLA
4489,TSLA
4492,TSLA
4495,TSLA
4498,TSLA
4501,TSLA
4504,TSLA
4507,TSLA
4510,TSLA
4513,TSLA
4516,TSLA
4519,TSLA
4522,TSLA
4525,TSLA
4528,TSLA
4531,TSLA
4534,TSLA
4537,TSLA
4540,TSLA
4543,TSLA
4546,TSLA
4549,TSLA
4552,TSLA
4555,TSLA
4558,TSLA
4561,TSLA
4564,TSLA
4567,TSLA
4570,TSLA
4573,TSLA
4576,TSLA
4579,TSLA
4582,TSLA
4585,TSLA
4588,TSLA
4591,TSLA
4594,TSLA
4597,TSLA
4600,TSLA
4603,TSLA
4606,TSLA
4609,TSLA
4612,TSLA
4615,TSLA
4618,TSLA
4621,TSLA
4624,TSLA
4627,TSLA
4630,TSLA
4633,TSLA
4636,TSLA
4639,TSLA
4642,TSLA
4645,TSLA
4648,TSLA
4651,TSLA
4654,TSLA
4657,TSLA
4660,TSLA
4663,TSLA
4666,TSLA
4669,TSLA
4672,TSLA
4675,TSLA
4678,TSLA
4681,TSLA
4684,TSLA
4687,TSLA
4690,TSLA
4693,TSLA
4696,TSLA
4699,TSLA
4702,TSLA
4705,TSLA
4708,TSLA
4711,TSLA
4714,TSLA
4717,TSLA
4720,TSLA
4723,TSLA
4726,TSLA
4729,TSLA
4732,TSLA
4735,TSLA
4738,TSLA
4741,TSLA
4744,TSLA
4747,TSLA
4750,TSLA
4753,TSLA
4756,TSLA
4759,TSLA
4762,TSLA
4765,TSLA
4768,TSLA
4771,TSLA
4774,TSLA
4777,TSLA
4780,TSLA
4783,TSLA
4786,TSLA
4789,TSLA
4792,TSLA
4795,TSLA
4798,TSLA
4801,TSLA
4804,TSLA
4807,TSLA
4810,TSLA
4813,TSLA
4816,TSLA
4819,TSLA
4822,TSLA
4825,TSLA
4828,TSLA
4831,TSLA
4834,TSLA
4837,TSLA
4840,TSLA
4843,TSLA
4846,TSLA
4849,TSLA
4852,TSLA
4855,TSLA
4858,TSLA
4861,TSLA
4864,TSLA
4867,TSLA
4870,TSLA
4873,TSLA
4876,TSLA
4879,TSLA
4882,CL=F
4885,CL=F
4888,CL=F
4891,CL=F
4894,CL=F
4897,CL=F
4900,CL=F
4903,CL=F
4906,CL=F
4909,CL=F
4912,CL=F
4915,CL=F
4918,CL=F
4921,CL=F
4924,CL=F
4927,CL=F
4930,CL=F
4933,CL=F
4936,CL=F
4939,CL=F
4942,CL=F
4945,CL=F
4948,CL=F
4951,CL=F
4954,CL=F
4957,CL=F
4960,CL=F
4963,CL=F
4966,CL=F
4969,CL=F
4972,CL=F
4975,CL=F
4978,CL=F
4981,CL=F
4984,CL=F
4987,CL=F
4990,CL=F
4993,CL=F
4996,CL=F
4999,CL=F
5002,CL=F
5005,CL=F
5008,CL=F
5011,CL=F
5014,CL=F
5017,CL=F
5020,CL=F
5023,CL=F
5026,CL=F
5029,CL=F
5032,CL=F
5035,CL=F
5038,CL=F
5041,CL=F
5044,CL=F
5047,CL=F
5050,CL=F
5053,CL=F
5056,CL=F
5059,CL=F
5062,CL=F
5065,CL=F
5068,CL=F
5071,CL=F
5074,CL=F
5077,CL=F
5080,CL=F
5083,CL=F
5086,CL=F
5089,CL=F
5092,CL=F
5095,CL=F
5098,CL=F
5101,CL=F
5104,CL=F
5107,CL=F
5110,CL=F
5113,CL=F
5116,CL=F
5119,CL=F
5122,CL=F
5125,CL=F
5128,CL=F
5131,CL=F
5134,CL=F
5137,CL=F
5140,CL=F
5143,CL=F
5146,CL=F
5149,CL=F
5152,CL=F
5155,CL=F
5158,CL=F
5161,CL=F
5164,CL=F
5167,CL=F
5170,CL=F
5173,CL=F
5176,CL=F
5179,CL=F
5182,CL=F
5185,CL=F
5188,CL=F
5191,CL=F
5194,CL=F
5197,CL=F
5200,CL=F
5203,CL=F
5206,CL=F
5209,CL=F
5212,CL=F
5215,CL=F
5218,CL=F
5221,CL=F
