,AAPL,TSLA,CL=F
240,174935200.0,102358500.0,638396.0
241,136127200.0,62263500.0,677957.0
242,186098000.0,48294000.0,551759.0
243,177404400.0,56953500.0,252567.0
244,111117600.0,52321500.0,129990.0
245,85700000.0,70336500.0,416592.0
246,95132800.0,78114000.0,471993.0
247,104343600.0,46666500.0,393487.0
248,56998000.0,70057500.0,285166.0
249,73187600.0,88735500.0,277306.0
250,83623600.0,56737500.0,322535.0
251,60158000.0,60675000.0,360194.0
252,122345200.0,69639000.0,271094.0
253,115127600.0,88849500.0,727793.0
254,84472400.0,168202500.0,512641.0
255,88774400.0,88675500.0,517362.0
256,127007600.0,82918500.0,528333.0
257,134247600.0,59692500.0,564893.0
258,97848400.0,54900000.0,632573.0
259,110354400.0,54762000.0,815846.0
260,108344800.0,56853000.0,660703.0
261,104447600.0,91395000.0,477986.0
262,137759200.0,69262500.0,606023.0
263,94852000.0,56535000.0,236238.0
264,102389200.0,115984500.0,122593.0
265,130391600.0,63064500.0,567231.0
266,88200800.0,93943500.0,455333.0
267,92844000.0,74482500.0,520285.0
268,129510400.0,77139000.0,589709.0
269,105350400.0,47281500.0,578065.0
270,82251600.0,47494500.0,495556.0
271,121510000.0,57016500.0,486309.0
272,196804000.0,61741500.0,586676.0
273,447940000.0,59382000.0,577243.0
274,134841600.0,37497000.0,492553.0
275,98029200.0,32800500.0,462616.0
276,107383600.0,53437500.0,425085.0
277,152735200.0,63672000.0,624057.0
278,92016400.0,58995000.0,767379.0
279,113399600.0,117303000.0,610196.0
280,80262000.0,54295500.0,596449.0
281,92141600.0,105444000.0,586034.0
282,132904800.0,110178000.0,493022.0
283,142492400.0,74218500.0,463638.0
284,90338400.0,106159500.0,343363.0
285,88792800.0,93856500.0,195352.0
286,98028800.0,85150500.0,665310.0
287,83347600.0,131325000.0,499480.0
288,83152800.0,223728000.0,529880.0
289,87106400.0,122574000.0,395258.0
290,81029600.0,171912000.0,394380.0
291,93931600.0,91171500.0,593909.0
292,145658400.0,72142500.0,491289.0
293,104844000.0,50277000.0,638390.0
294,84432400.0,43791000.0,436360.0
295,87000000.0,50332500.0,503692.0
296,69785200.0,51892500.0,494677.0
297,74828800.0,55878000.0,963392.0
298,88623600.0,58189500.0,1073506.0
299,78451200.0,45994500.0,796960.0
300,69686800.0,45339000.0,601362.0
301,61236400.0,113976000.0,857711.0
302,102767200.0,79962000.0,655788.0
303,76928000.0,106983000.0,516853.0
304,175540000.0,97462500.0,172340.0
305,86168000.0,54214500.0,142258.0
306,158119600.0,103629000.0,628119.0
307,103440800.0,60889500.0,680849.0
308,81385200.0,49803000.0,499878.0
309,89582400.0,84709500.0,421027.0
310,94300400.0,93462000.0,466176.0
311,133499200.0,119814000.0,502377.0
312,116760000.0,55143000.0,548615.0
